REGION,FUEL,TIMESLICE,YEAR,VALUE
Simplicity2,ELECTRICITY,170,2010,0.000107638
Simplicity2,ELECTRICITY,171,2010,0.000107198
Simplicity2,ELECTRICITY,172,2010,0.000103129
Simplicity2,ELECTRICITY,173,2010,0.00010199
Simplicity2,ELECTRICITY,174,2010,0.000103699
Simplicity2,ELECTRICITY,175,2010,0.000110242
Simplicity2,ELECTRICITY,176,2010,0.000126991
Simplicity2,ELECTRICITY,177,2010,0.000129839
Simplicity2,ELECTRICITY,178,2010,0.000126291
Simplicity2,ELECTRICITY,179,2010,0.000121603
Simplicity2,ELECTRICITY,180,2010,0.000125851
Simplicity2,ELECTRICITY,181,2010,0.000124826
Simplicity2,ELECTRICITY,182,2010,0.000122677
Simplicity2,ELECTRICITY,183,2010,0.000122612
Simplicity2,ELECTRICITY,184,2010,0.000124598
Simplicity2,ELECTRICITY,185,2010,0.000131125
Simplicity2,ELECTRICITY,186,2010,0.00013425
Simplicity2,ELECTRICITY,187,2010,0.000132167
Simplicity2,ELECTRICITY,188,2010,0.000129693
Simplicity2,ELECTRICITY,189,2010,0.000127235
Simplicity2,ELECTRICITY,190,2010,0.000119813
Simplicity2,ELECTRICITY,191,2010,0.00010728
Simplicity2,ELECTRICITY,192,2010,0.000106759
Simplicity2,ELECTRICITY,193,2010,0.000103194
Simplicity2,ELECTRICITY,194,2010,9.96948E-05
Simplicity2,ELECTRICITY,195,2010,9.83438E-05
Simplicity2,ELECTRICITY,196,2010,9.92716E-05
Simplicity2,ELECTRICITY,197,2010,9.55117E-05
Simplicity2,ELECTRICITY,198,2010,9.68789E-05
Simplicity2,ELECTRICITY,199,2010,0.000102055
Simplicity2,ELECTRICITY,200,2010,0.000105929
Simplicity2,ELECTRICITY,201,2010,0.000109803
Simplicity2,ELECTRICITY,202,2010,0.000113872
Simplicity2,ELECTRICITY,203,2010,0.000115841
Simplicity2,ELECTRICITY,204,2010,0.000114718
Simplicity2,ELECTRICITY,205,2010,0.000113904
Simplicity2,ELECTRICITY,206,2010,0.000112326
Simplicity2,ELECTRICITY,207,2010,0.000114441
Simplicity2,ELECTRICITY,208,2010,0.000120203
Simplicity2,ELECTRICITY,209,2010,0.000120806
Simplicity2,ELECTRICITY,210,2010,0.000113986
Simplicity2,ELECTRICITY,211,2010,0.000112423
Simplicity2,ELECTRICITY,212,2010,0.000109412
Simplicity2,ELECTRICITY,213,2010,0.000106922
Simplicity2,ELECTRICITY,214,2010,0.000105554
Simplicity2,ELECTRICITY,215,2010,0.000101908
Simplicity2,ELECTRICITY,216,2010,0.000100737
Simplicity2,ELECTRICITY,217,2010,0.000101013
Simplicity2,ELECTRICITY,218,2010,0.000100818
Simplicity2,ELECTRICITY,219,2010,0.000101827
Simplicity2,ELECTRICITY,220,2010,9.9825E-05
Simplicity2,ELECTRICITY,221,2010,0.000100151
Simplicity2,ELECTRICITY,222,2010,9.90112E-05
Simplicity2,ELECTRICITY,223,2010,9.74161E-05
Simplicity2,ELECTRICITY,224,2010,0.000101762
Simplicity2,ELECTRICITY,225,2010,0.00010671
Simplicity2,ELECTRICITY,226,2010,0.000110275
Simplicity2,ELECTRICITY,227,2010,0.00010798
Simplicity2,ELECTRICITY,228,2010,0.000108728
Simplicity2,ELECTRICITY,229,2010,0.000114751
Simplicity2,ELECTRICITY,230,2010,0.000114718
Simplicity2,ELECTRICITY,231,2010,0.000113172
Simplicity2,ELECTRICITY,232,2010,0.000113693
Simplicity2,ELECTRICITY,233,2010,0.000122336
Simplicity2,ELECTRICITY,234,2010,0.000117502
Simplicity2,ELECTRICITY,235,2010,0.000109558
Simplicity2,ELECTRICITY,236,2010,0.000105603
Simplicity2,ELECTRICITY,237,2010,0.000105001
Simplicity2,ELECTRICITY,238,2010,0.000103259
Simplicity2,ELECTRICITY,239,2010,0.000102706
Simplicity2,ELECTRICITY,240,2010,0.000102755
Simplicity2,ELECTRICITY,241,2010,9.91251E-05
Simplicity2,ELECTRICITY,242,2010,9.51536E-05
Simplicity2,ELECTRICITY,243,2010,9.4356E-05
Simplicity2,ELECTRICITY,244,2010,9.32818E-05
Simplicity2,ELECTRICITY,245,2010,8.96195E-05
Simplicity2,ELECTRICITY,246,2010,8.58108E-05
Simplicity2,ELECTRICITY,247,2010,9.14425E-05
Simplicity2,ELECTRICITY,248,2010,0.000105766
Simplicity2,ELECTRICITY,249,2010,0.000114344
Simplicity2,ELECTRICITY,250,2010,0.00010728
Simplicity2,ELECTRICITY,251,2010,0.000108468
Simplicity2,ELECTRICITY,252,2010,0.00010811
Simplicity2,ELECTRICITY,253,2010,0.000106694
Simplicity2,ELECTRICITY,254,2010,0.000107622
Simplicity2,ELECTRICITY,255,2010,0.000107735
Simplicity2,ELECTRICITY,256,2010,0.000107508
Simplicity2,ELECTRICITY,257,2010,0.000117843
Simplicity2,ELECTRICITY,258,2010,0.000120871
Simplicity2,ELECTRICITY,259,2010,0.000115402
Simplicity2,ELECTRICITY,260,2010,0.000110128
Simplicity2,ELECTRICITY,261,2010,0.000105278
Simplicity2,ELECTRICITY,262,2010,0.000106743
Simplicity2,ELECTRICITY,263,2010,0.000104871
Simplicity2,ELECTRICITY,264,2010,0.000103617
Simplicity2,ELECTRICITY,265,2010,9.98087E-05
Simplicity2,ELECTRICITY,266,2010,0.000104236
Simplicity2,ELECTRICITY,267,2010,0.000103878
Simplicity2,ELECTRICITY,268,2010,9.93693E-05
Simplicity2,ELECTRICITY,269,2010,9.45514E-05
Simplicity2,ELECTRICITY,270,2010,8.49481E-05
Simplicity2,ELECTRICITY,271,2010,9.48606E-05
Simplicity2,ELECTRICITY,272,2010,0.000115027
Simplicity2,ELECTRICITY,273,2010,0.000114393
Simplicity2,ELECTRICITY,274,2010,0.000113986
Simplicity2,ELECTRICITY,275,2010,0.000109754
Simplicity2,ELECTRICITY,276,2010,0.000107345
Simplicity2,ELECTRICITY,277,2010,0.000107475
Simplicity2,ELECTRICITY,278,2010,0.000106759
Simplicity2,ELECTRICITY,279,2010,0.000110047
Simplicity2,ELECTRICITY,280,2010,0.00011423
Simplicity2,ELECTRICITY,281,2010,0.000114848
Simplicity2,ELECTRICITY,282,2010,0.000113514
Simplicity2,ELECTRICITY,283,2010,0.000110551
Simplicity2,ELECTRICITY,284,2010,0.0001085
Simplicity2,ELECTRICITY,285,2010,0.000114734
Simplicity2,ELECTRICITY,286,2010,0.000113888
Simplicity2,ELECTRICITY,287,2010,0.000109851
Simplicity2,ELECTRICITY,288,2010,0.000109542
Simplicity2,ELECTRICITY,289,2010,0.000103422
Simplicity2,ELECTRICITY,290,2010,0.000101827
Simplicity2,ELECTRICITY,291,2010,9.94995E-05
Simplicity2,ELECTRICITY,292,2010,9.73509E-05
Simplicity2,ELECTRICITY,293,2010,9.51048E-05
Simplicity2,ELECTRICITY,294,2010,9.65208E-05
Simplicity2,ELECTRICITY,295,2010,0.000101485
Simplicity2,ELECTRICITY,296,2010,0.000115109
Simplicity2,ELECTRICITY,297,2010,0.000125152
Simplicity2,ELECTRICITY,298,2010,0.000121375
Simplicity2,ELECTRICITY,299,2010,0.000115727
Simplicity2,ELECTRICITY,300,2010,0.000115141
Simplicity2,ELECTRICITY,301,2010,0.000123475
Simplicity2,ELECTRICITY,302,2010,0.000125949
Simplicity2,ELECTRICITY,303,2010,0.0001259
Simplicity2,ELECTRICITY,304,2010,0.00012774
Simplicity2,ELECTRICITY,305,2010,0.000132606
Simplicity2,ELECTRICITY,306,2010,0.000119634
Simplicity2,ELECTRICITY,307,2010,0.000117794
Simplicity2,ELECTRICITY,308,2010,0.000129595
Simplicity2,ELECTRICITY,309,2010,0.000129986
Simplicity2,ELECTRICITY,310,2010,0.000127007
Simplicity2,ELECTRICITY,311,2010,0.0001141
Simplicity2,ELECTRICITY,312,2010,0.000108989
Simplicity2,ELECTRICITY,313,2010,0.000105343
Simplicity2,ELECTRICITY,314,2010,0.000102364
