time,PeaceRiver_1,CentralOkanagan_1,Thompson-Nicola_1
2023-01-03 21:00:00,0.3302300293932117,0.06198794747392337,0.12792179314024518
2023-01-03 22:00:00,0.36910267154674914,0.06445269092917442,0.11410102659779965
2023-01-03 23:00:00,0.37887103046279347,0.08198061098655064,0.11944868074447816
2023-01-04 00:00:00,0.38742251890610485,0.09099271083871523,0.12779369893399148
2023-01-04 01:00:00,0.4078040251117871,0.08621006707350413,0.13495686137766547
2023-01-04 02:00:00,0.4432518376176615,0.08772396475076676,0.1425716313787482
2023-01-04 03:00:00,0.4304340048475435,0.1297677398721377,0.13503913900165845
2023-01-04 04:00:00,0.48947295391415946,0.12764311477541923,0.16053970232154385
2023-01-04 05:00:00,0.5321371249351874,0.09826957762241362,0.1571106454097863
2023-01-04 06:00:00,0.5336823035435503,0.0941376306116581,0.17019836717934322
